Bolnr,Belnr,Country1,Refnr,IdocCreationDate,FileName
467207306,4517193472,US,76309798062340358,20240306,output_20240319_220920.json
1ZB8D9050324437934,4518101919,US,,20240306,output_20240319_220923.json
00299990009764107,4518117619,US,,20240306,output_20240319_221022.json
1ZB8D9050305505708,4518094090,US,,20240306,output_20240319_221023.json
467207306,4517193472,US,76309798062340358,20240306,output_20240319_221122.json
1ZB8D9050324437934,4518101919,US,,20240306,output_20240319_221124.json
00299990009764107,4518117619,US,,20240306,output_20240319_221222.json
1ZB8D9050305505708,4518094090,US,,20240306,output_20240319_221224.json
467207306,4517193472,US,76309798062340358,20240306,output_20240319_221442.json
1ZB8D9050305505708,4518094090,US,,20240306,output_20240319_221543.json
467207306,4517193472,US,76309798062340358,20240306,output_20240319_221643.json
1ZB8D9050305505708,4518094090,US,,20240306,output_20240319_221743.json
00299990009764107,4518117619,US,,20240306,output_20240319_221746.json
1ZB8D9050324437934,4518101919,US,,20240306,output_20240319_221843.json
467207306,4517193472,US,76309798062340358,20240306,output_20240319_221846.json
1ZB8D9050305505708,4518094090,US,,20240306,output_20240319_221943.json
00299990009764107,4518117619,US,,20240306,output_20240319_221946.json
1ZB8D9050324437934,4518101919,US,,20240306,output_20240319_222043.json
467207306,4517193472,US,76309798062340358,20240306,output_20240319_222047.json
1ZB8D9050305505708,4518094090,US,,20240306,output_20240319_222143.json
00299990009764107,4518117619,US,,20240306,output_20240319_222147.json
1ZB8D9050324437934,4518101919,US,,20240306,output_20240319_222244.json
467207306,4517193472,US,76309798062340358,20240306,output_20240319_222247.json
1ZB8D9050305505708,4518094090,US,,20240306,output_20240319_222344.json
00299990009764107,4518117619,US,,20240306,output_20240319_222347.json
1ZB8D9050324437934,4518101919,US,,20240306,output_20240319_222444.json
467207306,4517193472,US,76309798062340358,20240306,output_20240319_222447.json
1ZB8D9050305505708,4518094090,US,,20240306,output_20240319_222544.json
00299990009764107,4518117619,US,,20240306,output_20240319_222547.json
1ZB8D9050324437934,4518101919,US,,20240306,output_20240319_222644.json
467207306,4517193472,US,76309798062340358,20240306,output_20240319_222647.json
1ZB8D9050305505708,4518094090,US,,20240306,output_20240319_222744.json
00299990009764107,4518117619,US,,20240306,output_20240319_222747.json
1ZB8D9050324437934,4518101919,US,,20240306,output_20240319_222844.json
467207306,4517193472,US,76309798062340358,20240306,output_20240319_222847.json
1ZB8D9050305505708,4518094090,US,,20240306,output_20240319_222944.json
00299990009764107,4518117619,US,,20240306,output_20240319_222947.json
1ZB8D9050324437934,4518101919,US,,20240306,output_20240319_223044.json
467207306,4517193472,US,76309798062340358,20240306,output_20240319_223047.json
1ZB8D9050305505708,4518094090,US,,20240306,output_20240319_223145.json
00299990009764107,4518117619,US,,20240306,output_20240319_223147.json
1ZB8D9050324437934,4518101919,US,,20240306,output_20240319_223245.json
467207306,4517193472,US,76309798062340358,20240306,output_20240319_223247.json
1ZB8D9050305505708,4518094090,US,,20240306,output_20240319_223345.json
00299990009764107,4518117619,US,,20240306,output_20240319_223347.json
1Z0361YE0300447843,4518085645,US,04760310013272503,20240306,output_20240319_223445.json
1Z3X14600365526881,4518089552,US,438149,20240306,output_20240319_223448.json
00299990009763902,4517980204,US,,20240306,output_20240319_223545.json
00299990009763896,4518110334,US,,20240306,output_20240319_223548.json
1Z0361YE0300447843,4518085645,US,04760310013272503,20240306,output_20240319_223645.json
1Z3X14600365526881,4518089552,US,438149,20240306,output_20240319_223648.json
00299990009763902,4517980204,US,,20240306,output_20240319_223745.json
00299990009763896,4518110334,US,,20240306,output_20240319_223748.json
1Z0361YE0300447843,4518085645,US,04760310013272503,20240306,output_20240319_223845.json
1Z3X14600365526881,4518089552,US,438149,20240306,output_20240319_223848.json
00299990009763902,4517980204,US,,20240306,output_20240319_223945.json
00299990009763896,4518110334,US,,20240306,output_20240319_223948.json
1Z0361YE0300447843,4518085645,US,04760310013272503,20240306,output_20240319_224045.json
1Z3X14600365526881,4518089552,US,438149,20240306,output_20240319_224048.json
00299990009763902,4517980204,US,,20240306,output_20240319_224146.json
00299990009763896,4518110334,US,,20240306,output_20240319_224148.json
1Z0361YE0300447843,4518085645,US,04760310013272503,20240306,output_20240319_224246.json
1Z3X14600365526881,4518089552,US,438149,20240306,output_20240319_224248.json
00299990009763902,4517980204,US,,20240306,output_20240319_224346.json
00299990009763896,4518110334,US,,20240306,output_20240319_224348.json
08532900040156012,4517696223,US,,20240306,output_20240319_224547.json
